Worksheet Filter,Measure Display,Number of Records,Avg Sale To List,Avg Sale To List Mom,Avg Sale To List Yoy,City,Homes Sold,Homes Sold Mom,Homes Sold Yoy,Inventory,Inventory Mom,Inventory Yoy,Median Dom,Median Dom Mom,Median Dom Yoy,Median List Ppsf,Median List Ppsf Mom,Median List Ppsf Yoy,Median List Price,Median List Price Mom,Median List Price Yoy,Median Ppsf,Median Ppsf Mom,Median Ppsf Yoy,Median Sale Price,Median Sale Price Mom,Median Sale Price Yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,New Listings,New Listings Mom,New Listings Yoy,Period Begin,Period Duration,Period End,Price Drops,Price Drops Mom,Price Drops Yoy,Property Type,Region,Region Type,Sold Above List,Sold Above List Mom,Sold Above List Yoy,State,State Code,Table Id
Value,,1,1.111221306,4.9%,6.8%,Alameda,11,10.0%,-15.4%,7,-58.8%,-12.5%,11,-3,-6,428.303565134,-0.018980882,0.018201503,419250,-0.117368421,0.062872354,492.139512340,0.090198911,0.262491848,$545K,13.4%,16.0%,0.6,-1.1,0,10,-41.2%,25.0%,7/1/2015,30,7/31/2015,0.285714286,0.168067227,0.035714286,Condo/Co-op,"Alameda, CA",place,0.909090909,0.109090909,0.139860140,California,CA,117
Value,,1,1.176060228,-3.0%,12.0%,Berkeley,12,50.0%,-7.7%,11,0.0%,-42.1%,15,0,-8,556.862378070,0.037991473,0.142550573,522000,0.228235294,0.087500000,618.107208060,-0.144806379,0.210754623,$663K,-12.0%,29.6%,0.9,-0.5,-0.6,8,14.3%,-57.9%,9/1/2015,30,9/30/2015,0.181818182,0.090909091,-0.028708134,Condo/Co-op,"Berkeley, CA",place,0.916666667,0.041666667,0.147435897,California,CA,1590
Value,,1,1.035114585,-1.7%,-0.5%,Fremont,21,23.5%,-36.4%,33,13.8%,10.0%,9,-1,-6,528.738461538,-0.001908296,0.025260664,519000,0.039039039,-0.020662327,568.031704095,0.086102685,0.085764418,$610K,40.9%,13.0%,1.6,-0.100000000,0.7,43,13.2%,0.0%,3/1/2017,30,3/31/2017,0.060606061,-0.008359457,-0.172727273,Condo/Co-op,"Fremont, CA",place,0.904761905,0.140056022,0.116883117,California,CA,6671
Value,,1,1.033214037,-0.1%,-3.2%,Berkeley,8,0.0%,0.0%,2,-33.3%,-81.8%,14,-8,-2,725.457115734,0.335954686,0.239213413,507000,-0.294853964,0.300373441,547.617183422,-0.005463045,0.231613167,$617K,11.4%,10.7%,0.3,-0.1,-1.1,2,-50.0%,100.0%,12/1/2015,30,12/31/2015,0.5,,0.409090909,Condo/Co-op,"Berkeley, CA",place,0.75,0,0,California,CA,1590
Value,,1,1.098549848,-2.0%,1.3%,Oakland,72,16.1%,-17.2%,52,10.6%,-22.4%,14,0,-1,597.233265720,0.003291298,0.098471510,595000,0.082802548,0.031195841,695.552454860,0.140706026,0.175708020,$650K,3.2%,13.1%,0.7,-0.1,-0.1,79,31.7%,8.2%,5/1/2018,30,5/31/2018,0.173076923,0.002864157,0.038748565,Condo/Co-op,"Oakland, CA",place,0.875,0.020161290,0.093390805,California,CA,13654
Value,,1,1.040967274,0.1%,-2.1%,Oakland,53,43.2%,39.5%,86,2.4%,72.0%,17,0,4,401.188707281,0.120011474,0.396731055,374900,-0.055667506,0.239773276,396.829344594,-0.055527240,0.183837263,$395K,-4.8%,19.7%,1.6,-0.7,0.3,83,25.8%,48.2%,3/1/2014,30,3/31/2014,0.174418605,0.091085271,-0.025581395,Condo/Co-op,"Oakland, CA",place,0.622641509,0.055073942,-0.061569017,California,CA,13654
Value,,1,1.173963359,-7.6%,-3.4%,Berkeley,7,-12.5%,-36.4%,10,42.9%,100.0%,16,1,1,683.849129594,0.203574468,0.086335141,649000,0.083472454,0.096283784,572.979493366,-0.246191158,-0.121230398,$808K,-14.8%,7.6%,1.4,0.5,0.9,15,66.7%,50.0%,5/1/2017,30,5/31/2017,0.1,-0.042857143,-0.1,Condo/Co-op,"Berkeley, CA",place,0.857142857,-0.142857143,-0.142857143,California,CA,1590
Value,,1,1.074579076,0.0%,-1.1%,Oakland,64,0.0%,0.0%,67,-17.3%,-9.5%,17,1,1,540.447468554,-0.064799462,0.056448202,577000,0.094980548,0.156312625,585.194348045,0.007083902,0.026290196,$600K,6.2%,3.9%,1,-0.3,-0.2,64,-9.9%,-7.2%,8/1/2017,30,8/31/2017,0.134328358,-0.038511148,-0.041347317,Condo/Co-op,"Oakland, CA",place,0.828125,0.109375,0.078125,California,CA,13654
Value,,1,1.034991000,1.9%,3.6%,San Ramon,19,-34.5%,-9.5%,17,-26.1%,-54.1%,9,-9,-6,442.571127503,0.005843472,0.096233091,485000,0.032354193,0.077777778,439.508506616,-0.027636047,0.143709777,$503K,0.6%,11.5%,0.9,0.1,-0.9,21,-22.2%,-8.7%,8/1/2015,30,8/31/2015,0.235294118,0.017902813,-0.007949126,Condo/Co-op,"San Ramon, CA",place,0.631578947,0.010889292,0.203007519,California,CA,17519
Value,,1,1.013659555,3.5%,4.0%,Berkeley,6,50.0%,-25.0%,24,-11.1%,-57.1%,16,4,-8,419.196865818,0.154259218,0.195137903,439000,0.223181945,0.254464924,443.073407598,0.413408426,0.144621946,$385K,11.5%,-11.7%,4,-2.8,-3,15,36.4%,-11.8%,5/1/2012,30,5/31/2012,0.291666667,0.032407407,0.023809524,Condo/Co-op,"Berkeley, CA",place,0.5,0.5,0.25,California,CA,1590
